,Name,StudyHours,Attendance,PreviousScore,Participation,FinalScore
0,Aditya Singh,6.62,88.6,63.29,9.95,93.88
1,Saanvi Sharma,2.53,96.23,83.87,7.61,69.11
2,Saanvi Sharma,6.31,97.99,58.99,4.13,66.55
3,Riya Reddy,3.53,91.72,75.25,5.53,58.12
4,Riya Jain,4.27,84.77,43.58,5.27,37.42
5,Aditya Verma,5.28,69.56,79.89,7.14,73.64
6,Myra Kumar,4.71,89.29,68.38,4.25,60.59
7,Aarav Das,4.78,76.29,72.53,7.26,58.76
8,Aditya Reddy,5.31,76.5,91.68,6.46,79.11
9,Ishaan Kumar,4.4,92.3,67.73,2.49,49.51
10,Aditya Chopra,5.46,64.69,62.37,6.76,45.89
11,Aditya Patel,3.41,91.36,73.79,3.72,54.19
12,Vivaan Das,2.52,77.15,79.75,5.68,48.85
13,Aditya Reddy,2.78,81.57,83.4,5.42,52.38
14,Vivaan Gupta,3.63,97.83,72.03,9.48,79.02
15,Ishaan Singh,3.17,70.66,85.82,6.25,60.13
16,Saanvi Jain,6.65,93.77,78.12,8.1,83.89
17,Riya Gupta,4.78,96.82,69.85,5.5,68.61
18,Ananya Sharma,5.22,85.08,86.5,6.74,83.45
19,Ananya Das,5.68,81.8,76.06,7.46,86.9
20,Saanvi Verma,5.27,88.45,78.95,6.36,75.64
21,Krishna Singh,4.99,78.63,73.62,6.45,76.72
22,Aditya Das,5.76,100.0,67.84,4.88,75.78
23,Vivaan Jain,3.83,91.17,67.27,4.99,44.71
24,Aditya Kumar,7.84,72.53,68.62,7.43,82.77
25,Riya Kumar,1.94,87.34,74.98,10.0,73.43
26,Aditya Das,6.39,79.32,86.96,5.96,86.8
27,Krishna Reddy,3.05,77.21,83.84,6.56,70.59
28,Myra Gupta,4.26,76.81,91.75,6.12,72.52
29,Krishna Jain,4.62,86.18,72.29,7.33,70.15
30,Diya Chopra,4.76,75.62,70.41,3.9,57.55
31,Diya Jain,3.11,72.68,81.7,8.62,68.01
32,Vivaan Chopra,4.95,84.52,61.81,5.02,61.75
33,Myra Chopra,3.95,75.26,63.51,6.72,60.98
34,Saanvi Chopra,4.38,76.41,82.82,4.6,55.1
35,Riya Gupta,3.86,100.0,65.75,5.04,61.79
36,Diya Chopra,2.71,86.58,79.69,3.33,62.06
37,Saanvi Kumar,4.2,74.12,55.49,5.93,46.89
38,Riya Chopra,4.32,79.52,71.13,4.35,44.36
39,Riya Gupta,6.19,100.0,68.87,3.25,75.24
40,Aditya Das,4.33,89.77,51.09,5.19,35.86
41,Krishna Singh,4.65,79.41,49.78,5.07,45.92
42,Ishaan Reddy,4.41,75.52,86.77,6.87,73.41
43,Ishaan Patel,1.67,93.57,60.64,6.78,47.04
44,Saanvi Gupta,3.54,79.43,84.62,6.26,65.95
45,Riya Sharma,3.61,60.7,49.72,4.56,28.0
46,Diya Reddy,6.24,88.96,65.58,5.6,79.32
47,Ananya Gupta,4.36,93.78,89.15,8.54,93.51
48,Ishaan Singh,3.62,81.18,61.15,8.05,55.58
49,Vivaan Jain,4.84,83.97,68.89,2.33,48.29
50,Krishna Kumar,5.13,96.48,67.81,7.17,76.84
51,Ananya Gupta,4.16,84.61,66.23,5.4,50.99
52,Ishaan Das,1.42,100.0,80.88,5.05,53.36
53,Aarav Chopra,3.26,82.33,84.94,2.68,55.64
54,Vivaan Gupta,4.02,95.04,90.41,8.36,98.0
55,Saanvi Reddy,5.66,75.54,75.02,1.0,47.95
56,Saanvi Das,5.31,87.41,81.29,4.62,71.19
57,Vivaan Patel,3.48,68.43,74.01,6.36,52.8
58,Riya Patel,4.89,78.31,75.37,3.54,48.45
59,Ishaan Gupta,4.5,96.71,70.89,2.55,63.04
60,Aditya Chopra,4.24,92.92,67.49,3.84,54.4
61,Myra Kumar,3.24,78.69,61.0,7.26,47.27
62,Ananya Patel,1.51,87.13,65.34,5.05,50.4
63,Ishaan Jain,4.14,79.63,83.68,3.58,56.14
64,Riya Gupta,3.79,100.0,60.83,5.42,55.33
65,Ishaan Patel,2.1,95.24,77.44,8.46,65.89
66,Aditya Jain,5.13,82.11,74.4,7.1,78.32
67,Diya Das,5.39,84.85,48.16,6.84,60.96
68,Vivaan Das,2.09,83.66,81.36,5.27,53.17
69,Diya Patel,1.92,100.0,93.0,8.48,80.33
70,Aarav Chopra,1.35,75.45,66.3,5.03,30.91
71,Ananya Jain,2.63,67.55,72.65,6.28,48.74
72,Aarav Jain,1.86,85.44,70.48,5.05,40.16
73,Krishna Jain,4.95,72.49,73.34,6.27,57.08
74,Ishaan Singh,3.54,98.7,81.96,5.72,70.36
75,Ishaan Reddy,3.89,83.77,91.03,9.23,83.12
76,Vivaan Gupta,4.75,90.69,62.68,3.34,58.16
77,Saanvi Patel,4.01,65.88,72.01,4.19,50.24
78,Vivaan Singh,5.05,79.67,55.47,4.27,59.13
79,Myra Jain,7.1,89.17,55.22,9.67,81.04
80,Ananya Singh,4.6,86.75,55.32,3.76,40.12
81,Aditya Gupta,5.48,76.29,79.37,5.72,76.84
82,Vivaan Jain,6.88,80.62,55.16,7.92,76.28
83,Vivaan Chopra,2.37,100.0,69.35,7.8,59.43
